model,task,group_label,n,mean_score,min_score,max_score
flan-t5-large,taxonomy_animal,ambiguous_i3,3,0.08,0.08,0.08
flan-t5-large,taxonomy_animal,ambiguous_i4,3,0.04,0.04,0.04
flan-t5-large,taxonomy_animal,negative_control_i1,3,0.10000000000000002,0.1,0.1
flan-t5-large,taxonomy_animal,negative_control_i2,3,0.08,0.08,0.08
flan-t5-large,taxonomy_animal,negative_control_i3,3,0.07,0.07,0.07
flan-t5-large,taxonomy_animal,negative_control_i4,3,0.09000000000000001,0.09,0.09
flan-t5-large,taxonomy_animal,negative_original_p1,3,0.12,0.12,0.12
flan-t5-large,taxonomy_animal,negative_original_p2,3,0.14,0.14,0.14
flan-t5-large,taxonomy_animal,negative_original_p3,3,0.07,0.07,0.07
flan-t5-large,taxonomy_animal,negative_original_p4,3,0.07,0.07,0.07
flan-t5-large,taxonomy_animal,neutral_i1,3,0.11,0.11,0.11
flan-t5-large,taxonomy_animal,neutral_i2,3,0.0,0.0,0.0
flan-t5-large,taxonomy_animal,neutral_i3,3,0.09000000000000001,0.09,0.09
flan-t5-large,taxonomy_animal,neutral_i4,3,0.08,0.08,0.08
flan-t5-large,taxonomy_animal,positive_i1,3,0.11,0.11,0.11
flan-t5-large,taxonomy_animal,positive_i2,3,0.13,0.13,0.13
flan-t5-large,taxonomy_animal,positive_i3,3,0.16,0.16,0.16
flan-t5-large,taxonomy_animal,positive_i4,3,0.15,0.15,0.15
flan-t5-large,translation_en-de,ambiguous_i1,3,0.16,0.16,0.16
flan-t5-large,translation_en-de,ambiguous_i2,3,0.17,0.17,0.17
flan-t5-large,translation_en-de,ambiguous_i3,3,0.18000000000000002,0.18,0.18
flan-t5-large,translation_en-de,ambiguous_i4,3,0.16,0.16,0.16
flan-t5-large,translation_en-de,negative_control_i1,3,0.19000000000000003,0.19,0.19
flan-t5-large,translation_en-de,negative_control_i2,3,0.17,0.17,0.17
flan-t5-large,translation_en-de,negative_control_i3,3,0.17,0.17,0.17
flan-t5-large,translation_en-de,negative_control_i4,3,0.15,0.15,0.15
flan-t5-large,translation_en-de,negative_original_p1,3,0.16,0.16,0.16
flan-t5-large,translation_en-de,negative_original_p2,3,0.19000000000000003,0.19,0.19
flan-t5-large,translation_en-de,negative_original_p3,3,0.18000000000000002,0.18,0.18
flan-t5-large,translation_en-de,negative_original_p4,3,0.18000000000000002,0.18,0.18
flan-t5-large,translation_en-de,neutral_i1,3,0.18000000000000002,0.18,0.18
flan-t5-large,translation_en-de,neutral_i2,3,0.20000000000000004,0.2,0.2
flan-t5-large,translation_en-de,neutral_i3,3,0.18000000000000002,0.18,0.18
flan-t5-large,translation_en-de,neutral_i4,3,0.17,0.17,0.17
flan-t5-large,translation_en-de,positive_i1,3,0.17,0.17,0.17
flan-t5-large,translation_en-de,positive_i2,3,0.16,0.16,0.16
flan-t5-large,translation_en-de,positive_i3,3,0.19000000000000003,0.19,0.19
flan-t5-large,translation_en-de,positive_i4,3,0.15,0.15,0.15
flan-t5-large,translation_en-es,ambiguous_i1,3,0.29,0.29,0.29
flan-t5-large,translation_en-es,ambiguous_i2,3,0.3,0.3,0.3
flan-t5-large,translation_en-es,ambiguous_i3,3,0.3,0.3,0.3
flan-t5-large,translation_en-es,ambiguous_i4,3,0.33,0.33,0.33
flan-t5-large,translation_en-es,negative_control_i1,3,0.34,0.34,0.34
flan-t5-large,translation_en-es,negative_control_i2,3,0.26,0.26,0.26
flan-t5-large,translation_en-es,negative_control_i3,3,0.31,0.31,0.31
flan-t5-large,translation_en-es,negative_control_i4,3,0.3,0.3,0.3
flan-t5-large,translation_en-es,negative_original_p1,3,0.3,0.3,0.3
flan-t5-large,translation_en-es,negative_original_p2,3,0.26,0.26,0.26
flan-t5-large,translation_en-es,negative_original_p3,3,0.25,0.25,0.25
flan-t5-large,translation_en-es,negative_original_p4,3,0.31,0.31,0.31
flan-t5-large,translation_en-es,neutral_i1,3,0.33,0.33,0.33
flan-t5-large,translation_en-es,neutral_i2,3,0.33,0.33,0.33
flan-t5-large,translation_en-es,neutral_i3,3,0.3,0.3,0.3
flan-t5-large,translation_en-es,neutral_i4,3,0.26,0.26,0.26
flan-t5-large,translation_en-es,positive_i1,3,0.33,0.33,0.33
flan-t5-large,translation_en-es,positive_i2,3,0.31,0.31,0.31
flan-t5-large,translation_en-es,positive_i3,3,0.3499999999999999,0.35,0.35
flan-t5-large,translation_en-es,positive_i4,3,0.3,0.3,0.3
flan-t5-large,translation_en-fr,ambiguous_i1,3,0.4000000000000001,0.4,0.4
flan-t5-large,translation_en-fr,ambiguous_i2,3,0.43,0.43,0.43
flan-t5-large,translation_en-fr,ambiguous_i3,3,0.45,0.45,0.45
flan-t5-large,translation_en-fr,ambiguous_i4,3,0.4000000000000001,0.4,0.4
flan-t5-large,translation_en-fr,negative_control_i1,3,0.42,0.42,0.42
flan-t5-large,translation_en-fr,negative_control_i2,3,0.4000000000000001,0.4,0.4
flan-t5-large,translation_en-fr,negative_control_i3,3,0.38999999999999996,0.39,0.39
flan-t5-large,translation_en-fr,negative_control_i4,3,0.42,0.42,0.42
flan-t5-large,translation_en-fr,negative_original_p1,3,0.41,0.41,0.41
flan-t5-large,translation_en-fr,negative_original_p2,3,0.34,0.34,0.34
flan-t5-large,translation_en-fr,negative_original_p3,3,0.38000000000000006,0.38,0.38
flan-t5-large,translation_en-fr,negative_original_p4,3,0.38000000000000006,0.38,0.38
flan-t5-large,translation_en-fr,neutral_i1,3,0.41,0.41,0.41
flan-t5-large,translation_en-fr,neutral_i2,3,0.43,0.43,0.43
flan-t5-large,translation_en-fr,neutral_i3,3,0.44,0.44,0.44
flan-t5-large,translation_en-fr,neutral_i4,3,0.38999999999999996,0.39,0.39
flan-t5-large,translation_en-fr,positive_i1,3,0.38999999999999996,0.39,0.39
flan-t5-large,translation_en-fr,positive_i2,3,0.42,0.42,0.42
flan-t5-large,translation_en-fr,positive_i3,3,0.38999999999999996,0.39,0.39
flan-t5-large,translation_en-fr,positive_i4,3,0.43,0.43,0.43
flan-t5-large,word_in_context,ambiguous_i1,3,0.55,0.55,0.55
flan-t5-large,word_in_context,ambiguous_i2,3,0.55,0.55,0.55
flan-t5-large,word_in_context,ambiguous_i3,3,0.49,0.49,0.49
flan-t5-large,word_in_context,ambiguous_i4,3,0.59,0.59,0.59
flan-t5-large,word_in_context,negative_control_i1,4,0.56,0.56,0.56
flan-t5-large,word_in_context,negative_control_i2,3,0.47,0.47,0.47
flan-t5-large,word_in_context,negative_control_i3,3,0.55,0.55,0.55
flan-t5-large,word_in_context,negative_control_i4,3,0.56,0.56,0.56
flan-t5-large,word_in_context,negative_original_p1,3,0.58,0.58,0.58
flan-t5-large,word_in_context,negative_original_p2,3,0.59,0.59,0.59
flan-t5-large,word_in_context,negative_original_p3,3,0.61,0.61,0.61
flan-t5-large,word_in_context,negative_original_p4,3,0.56,0.56,0.56
flan-t5-large,word_in_context,neutral_i1,4,0.51,0.51,0.51
flan-t5-large,word_in_context,neutral_i2,3,0.47,0.47,0.47
flan-t5-large,word_in_context,neutral_i3,3,0.49,0.49,0.49
flan-t5-large,word_in_context,neutral_i4,3,0.52,0.52,0.52
flan-t5-large,word_in_context,positive_i1,3,0.57,0.57,0.57
flan-t5-large,word_in_context,positive_i2,3,0.58,0.58,0.58
flan-t5-large,word_in_context,positive_i3,3,0.5,0.5,0.5
flan-t5-large,word_in_context,positive_i4,3,0.56,0.56,0.56
